member_id,member_name,representation,bill_code,bill_title,bill_status
157,Edcel C.  Lagman,"Albay - 1st District House of Representatives, Quezon City",HB00076,"AN ACT MANDATING THE TEACHING OF TAX LITERACY, CONSCIOUSNESS AND RESPONSIBILITY IN INTERMEDIATE, SECONDARY, TECHNICAL-VOCATIONAL, AND TERTIARY EDUCATION",Pending with the Committee on BASIC EDUCATION AND CULTURE since 2022-07-26
157,Edcel C.  Lagman,"Albay - 1st District House of Representatives, Quezon City",HB00077,"AN ACT DEFINING THE RIGHTS AND FUNDAMENTAL FREEDOMS OF HUMAN RIGHTS DEFENDERS, DECLARING STATE RESPONSIBILITIES, AND INSTITUTING EFFECTIVE MECHANISMS FOR THE PROTECTION AND PROMOTION OF THESE RIGHTS AND FREEDOMS",Pending with the Committee on HUMAN RIGHTS since 2022-07-26
157,Edcel C.  Lagman,"Albay - 1st District House of Representatives, Quezon City",HB00078,AN ACT REINSTITUTING ABSOLUTE DIVORCE AS AN ALTERNATIVE MODE FOR THE DISSOLUTION OF MARRIAGE,Pending with the Committee on POPULATION AND FAMILY RELATIONS since 2022-07-26
157,Edcel C.  Lagman,"Albay - 1st District House of Representatives, Quezon City",HB00079,"AN ACT PROVIDING FOR A NATIONAL POLICY PREVENTING ADOLESCENT PREGNANCIES, INSTITUTIONALIZING SOCIAL PROTECTION FOR ADOLESCENT PARENTS, AND PROVIDING FUNDS THEREFOR",Pending with the Committee on YOUTH AND SPORTS DEVELOPMENT since 2022-07-26
157,Edcel C.  Lagman,"Albay - 1st District House of Representatives, Quezon City",HB00080,"AN ACT ESTABLISHING THE PILI INDUSTRY SUBSIDY FUND TO ENHANCE THE CULTIVATION, PRODUCTION, AND MARKETING OF PILI FOR DOMESTIC AND EXPORT TRADE",Pending with the Committee on AGRICULTURE AND FOOD since 2022-07-26
157,Edcel C.  Lagman,"Albay - 1st District House of Representatives, Quezon City",HB01476,AN ACT DECLARING AN ELECTIVE OFFICIAL IPSO FACTO RESIGNED FROM HIS OFFICE UPON FILING OF HIS CERTIFICATE OF CANDIDACY FOR A POSITION OTHER THAN THE ONE FOR WHICH HE HAS BEEN ELECTED OR IS HOLDING IN A PERMANENT CAPACITY,Pending with the Committee on SUFFRAGE AND ELECTORAL REFORMS since 2022-08-01
157,Edcel C.  Lagman,"Albay - 1st District House of Representatives, Quezon City",HB01477,"AN ACT REPEALING ARTICLE 133 OF ACT NO. 3815, AS AMENDED, OTHERWISE KNOWN AS THE â€˜REVISED PENAL CODEâ€™, AND FOR OTHER PURPOSES",Pending with the Committee on REVISION OF LAWS since 2022-08-01
157,Edcel C.  Lagman,"Albay - 1st District House of Representatives, Quezon City",HB01478,AN ACT PROVIDING THAT THE SEASONABLE FILING OF A MOTION FOR RECONSIDERATION AND/OR APPEAL SHALL STAY THE EXECUTION OF THE CHALLENGED ORDER OF DECISION,Pending with the Committee on JUSTICE since 2022-08-01
157,Edcel C.  Lagman,"Albay - 1st District House of Representatives, Quezon City",HB01993,"AN ACT PROVIDING FOR THE ISSUANCE OF A CERTIFICATE OF ABSENCE TO IMMEDIATE FAMILY MEMBERS OF VICTIMS OF ENFORCED OR INVOLUNTARY DISAPPEARANCE, DEFINING RIGHTS AND BENEFITS ACCRUING FROM POSSESSION OF THE CERTIFICATE AND FOR OTHER PURPOSES",Pending with the Committee on JUSTICE since 2022-08-02
157,Edcel C.  Lagman,"Albay - 1st District House of Representatives, Quezon City",HB01994,"AN ACT PROTECTING THE PHYSICAL INTEGRITY OF A CULTURAL PROPERTY FROM ADVERSE VISUAL IMPACT AND PROHIBITING ANY OBSTRUCTION TO ITS VIEW AND SIGHTLINE, AMENDING FOR THE PURPOSE REPUBLIC ACT NO. 10066, OTHERWISE KNOWN AS THE â€œNATIONAL CULTURAL HERITAGE ACT OF 2009â€",Pending with the Committee on BASIC EDUCATION AND CULTURE since 2022-08-02
