member_id,member_name,representation,bill_code,bill_title,bill_status
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02177,AN ACT PROVIDING FOR A NATIONAL EMPLOYMENT ASSISTANCE PROGRAM AND APPROPRIATING FUNDS THEREFOR,Pending with the Committee on LABOR AND EMPLOYMENT since 2022-08-02
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02178,"AN ACT LOWERING THE COST OF DOING BUSINESS BY ESTABLISHING A SIMPLIFIED TAX SYSTEM FOR MICRO, SMALL AND MEDIUM ENTERPRISES",Pending with the Committee on WAYS AND MEANS since 2022-08-02
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02179,"AN ACT ENHANCING CREDIT SUPPORT TO MICRO, SMALL AND MEDIUM ENTERPRISES, AMENDING FOR THE PURPOSE SECTION 15 OF REPUBLIC ACT NO. 6977, AS AMENDED, OTHERWISE KNOWN AS THE ""MAGNA CARTA FOR MICRO, SMALL AND MEDIUM ENTERPISES (MSMEs)""","Pending with the Committee on MICRO, SMALL AND MEDIUM ENTERPRISE DEVELOPMENT since 2022-08-02"
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02180,"AN ACT REDUCING THE PRICE OF FUEL, AMENDING FOR THE PURPOSE SECTION 5 OF REPUBLIC ACT NO. 9367, OTHERWISE KNOWN AS THE â€œBIOFUELS ACT OF 2006â€",Pending with the Committee on ENERGY since 2022-08-02
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02181,"AN ACT PROVIDING FINANCIAL ASSISTANCE TO FILIPINO RICE FARMERS, ESTABLISHING FOR THE PURPOSE THE PANTAWID MAGSASAKANG PILIPINO PROGRAM, PROVIDING FUNDS THEREFOR, AND FOR OTHER PURPOSES",Referred to Stakeholders on 2022-09-07
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02182,"AN ACT CONDONING ALL UNPAID AMORTIZATIONS, INTERESTS, PENALTIES OR SURCHARGES ON LOANS SECURED UNDER THE COMPREHENSIVE AGRARIAN REFORM PROGRAM AND FOR OTHER PURPOSES",Substituted by HB06336
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02183,"AN ACT EXPEDITING THE TITLING OF LANDS AWARDED UNDER THE COMPREHENSIVE AGRARIAN REFORM PROGRAM, LIFTING THE RESTRICTIONS ON THE UTILIZATION OF SUCH LANDS AS COLLATERAL FOR SECURING AGRICULTURAL LOANS, AND OTHER SIMILAR FINANCIAL INSTRUMENTS, AND FOR OTHER PURPOSES",Pending with the Committee on AGRARIAN REFORM since 2022-08-02
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02184,AN ACT RESCINDING THE RESTRICTIONS ON OWNERSHIP AND TRANSFERABILITY OF LANDS AWARDED UNDER THE COMPREHENSIVE AGRARIAN REFORM PROGRAM,Pending with the Committee on AGRARIAN REFORM since 2022-08-02
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02185,"AN ACT POSTPONING THE DECEMBER 2022 BARANGAY AND SANGGUNIANG KABATAAN ELECTIONS, AND APPROPRIATING THE SAVINGS THEREFROM FOR PRIORITY PROGRAMS OF THE DEPARTMENT OF AGRICULTURE TO ENSURE FOOD SECURITY AND SUFFICIENCY",Substituted by HB04673
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02186,"AN ACT PROVIDING FOR A MAGNA CARTA FOR BARANGAY OFFICIALS, PERSONNEL AND VOLUNTEER WORKERS, PROVIDING FUNDS THEREFOR FROM THE ADDITIONAL LOCAL GOVERNMENT SHARE IN THE NATIONAL TAXES, AND FOR OTHER PURPOSES",Pending with the Committee on LOCAL GOVERNMENT since 2022-08-02
