member_id,member_name,representation,bill_code,bill_title,bill_status_str,member_profile_url,theme,primary_theme,res_type,res_number,bill_type,status_date,bill_status,congress_number,year,bill_age_days,committee,num_status_changes,member_success_rate,competition_index,member_theme_focus,committee_overlap,chamber_lag_days,resolution_url
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02177,AN ACT PROVIDING FOR A NATIONAL EMPLOYMENT ASSISTANCE PROGRAM AND APPROPRIATING FUNDS THEREFOR,Pending with the Committee on LABOR AND EMPLOYMENT since 2022-08-02,https://www.econgress.gov.ph/house-members/?id=223&views=authoredbills,"('Economy',)",Economy,HB,2177,HB,2022-08-02,Pending,19.0,2022,1152.0,LABOR AND EMPLOYMENT ,1.0,0.14925373134328357,1341.0,Other,76.0,,https://ldr.senate.gov.ph/bills/house-bill-no-2177-19th-congress
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02178,"AN ACT LOWERING THE COST OF DOING BUSINESS BY ESTABLISHING A SIMPLIFIED TAX SYSTEM FOR MICRO, SMALL AND MEDIUM ENTERPRISES",Pending with the Committee on WAYS AND MEANS since 2022-08-02,https://www.econgress.gov.ph/house-members/?id=223&views=authoredbills,"('Economy',)",Economy,HB,2178,HB,2022-08-02,Pending,19.0,2022,1152.0,WAYS AND MEANS ,1.0,0.14925373134328357,1341.0,Other,55.0,,https://ldr.senate.gov.ph/bills/house-bill-no-2178-19th-congress
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02179,"AN ACT ENHANCING CREDIT SUPPORT TO MICRO, SMALL AND MEDIUM ENTERPRISES, AMENDING FOR THE PURPOSE SECTION 15 OF REPUBLIC ACT NO. 6977, AS AMENDED, OTHERWISE KNOWN AS THE ""MAGNA CARTA FOR MICRO, SMALL AND MEDIUM ENTERPISES (MSMEs)""","Pending with the Committee on MICRO, SMALL AND MEDIUM ENTERPRISE DEVELOPMENT since 2022-08-02",https://www.econgress.gov.ph/house-members/?id=223&views=authoredbills,"('Other',)",Other,HB,2179,HB,2022-08-02,Pending,19.0,2022,1152.0,MICRO,2.0,0.14925373134328357,10437.0,Other,30.0,,https://ldr.senate.gov.ph/bills/house-bill-no-2179-19th-congress
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02180,"AN ACT REDUCING THE PRICE OF FUEL, AMENDING FOR THE PURPOSE SECTION 5 OF REPUBLIC ACT NO. 9367, OTHERWISE KNOWN AS THE â€œBIOFUELS ACT OF 2006â€",Pending with the Committee on ENERGY since 2022-08-02,https://www.econgress.gov.ph/house-members/?id=223&views=authoredbills,"('Other',)",Other,HB,2180,HB,2022-08-02,Pending,19.0,2022,1152.0,ENERGY ,1.0,0.14925373134328357,10437.0,Other,67.0,,https://ldr.senate.gov.ph/bills/house-bill-no-2180-19th-congress
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02181,"AN ACT PROVIDING FINANCIAL ASSISTANCE TO FILIPINO RICE FARMERS, ESTABLISHING FOR THE PURPOSE THE PANTAWID MAGSASAKANG PILIPINO PROGRAM, PROVIDING FUNDS THEREFOR, AND FOR OTHER PURPOSES",Referred to Stakeholders on 2022-09-07,https://www.econgress.gov.ph/house-members/?id=223&views=authoredbills,"('Other',)",Other,HB,2181,HB,2022-09-07,Other,19.0,2022,1116.0,,1.0,0.14925373134328357,10437.0,Other,,,https://ldr.senate.gov.ph/bills/house-bill-no-2181-19th-congress
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02182,"AN ACT CONDONING ALL UNPAID AMORTIZATIONS, INTERESTS, PENALTIES OR SURCHARGES ON LOANS SECURED UNDER THE COMPREHENSIVE AGRARIAN REFORM PROGRAM AND FOR OTHER PURPOSES",Substituted by HB06336,https://www.econgress.gov.ph/house-members/?id=223&views=authoredbills,"('Other',)",Other,HB,2182,HB,,Consolidated/Substituted,,,,,1.0,0.14925373134328357,,Other,,,
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02183,"AN ACT EXPEDITING THE TITLING OF LANDS AWARDED UNDER THE COMPREHENSIVE AGRARIAN REFORM PROGRAM, LIFTING THE RESTRICTIONS ON THE UTILIZATION OF SUCH LANDS AS COLLATERAL FOR SECURING AGRICULTURAL LOANS, AND OTHER SIMILAR FINANCIAL INSTRUMENTS, AND FOR OTHER PURPOSES",Pending with the Committee on AGRARIAN REFORM since 2022-08-02,https://www.econgress.gov.ph/house-members/?id=223&views=authoredbills,"('Other',)",Other,HB,2183,HB,2022-08-02,Pending,19.0,2022,1152.0,AGRARIAN REFORM ,1.0,0.14925373134328357,10437.0,Other,13.0,,https://ldr.senate.gov.ph/bills/house-bill-no-2183-19th-congress
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02184,AN ACT RESCINDING THE RESTRICTIONS ON OWNERSHIP AND TRANSFERABILITY OF LANDS AWARDED UNDER THE COMPREHENSIVE AGRARIAN REFORM PROGRAM,Pending with the Committee on AGRARIAN REFORM since 2022-08-02,https://www.econgress.gov.ph/house-members/?id=223&views=authoredbills,"('Other',)",Other,HB,2184,HB,2022-08-02,Pending,19.0,2022,1152.0,AGRARIAN REFORM ,1.0,0.14925373134328357,10437.0,Other,13.0,,https://ldr.senate.gov.ph/bills/house-bill-no-2184-19th-congress
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02185,"AN ACT POSTPONING THE DECEMBER 2022 BARANGAY AND SANGGUNIANG KABATAAN ELECTIONS, AND APPROPRIATING THE SAVINGS THEREFROM FOR PRIORITY PROGRAMS OF THE DEPARTMENT OF AGRICULTURE TO ENSURE FOOD SECURITY AND SUFFICIENCY",Substituted by HB04673,https://www.econgress.gov.ph/house-members/?id=223&views=authoredbills,"('Governance',)",Governance,HB,2185,HB,,Consolidated/Substituted,,,,,1.0,0.14925373134328357,,Other,,,
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02186,"AN ACT PROVIDING FOR A MAGNA CARTA FOR BARANGAY OFFICIALS, PERSONNEL AND VOLUNTEER WORKERS, PROVIDING FUNDS THEREFOR FROM THE ADDITIONAL LOCAL GOVERNMENT SHARE IN THE NATIONAL TAXES, AND FOR OTHER PURPOSES",Pending with the Committee on LOCAL GOVERNMENT since 2022-08-02,https://www.econgress.gov.ph/house-members/?id=223&views=authoredbills,"('Governance',)",Governance,HB,2186,HB,2022-08-02,Pending,19.0,2022,1152.0,LOCAL GOVERNMENT ,1.0,0.14925373134328357,1731.0,Other,177.0,,https://ldr.senate.gov.ph/bills/house-bill-no-2186-19th-congress
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02555,"AN ACT PROMOTING INVESTMENTS IN EXPORT ENTERPRISES, AMENDING FOR THE PURPOSE SECTION 296 OF THE NATIONAL INTERNAL REVENUE CODE OF 1997, AS AMENDED",Pending with the Committee on TRADE AND INDUSTRY since 2022-08-03,https://www.econgress.gov.ph/house-members/?id=223&views=authoredbills,"('Other',)",Other,HB,2555,HB,2022-08-03,Pending,19.0,2022,1151.0,TRADE AND INDUSTRY ,1.0,0.14925373134328357,10437.0,Other,81.0,,https://ldr.senate.gov.ph/bills/house-bill-no-2555-19th-congress
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02556,"AN ACT STRENGTHENING THE MILITARY AND UNIFORMED PERSONNEL PENSION SYSTEM, CREATING THE MILITARY AND UNIFORMED PERSONNEL INSURANCE FUND, AMENDING SECTIONS 3 AND 24 OF REPUBLIC ACT NUMBER 8291, AND FOR OTHER PURPOSES",Pending with the Committee on NATIONAL DEFENSE AND SECURITY since 2022-08-03,https://www.econgress.gov.ph/house-members/?id=223&views=authoredbills,"('Other',)",Other,HB,2556,HB,2022-08-03,Pending,19.0,2022,1151.0,NATIONAL DEFENSE AND SECURITY ,1.0,0.14925373134328357,10437.0,Other,41.0,,https://ldr.senate.gov.ph/bills/house-bill-no-2556-19th-congress
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02557,"AN ACT INSTITUTIONALIZING PUBLIC-PRIVATE PARTNERSHIPS (PPP), CREATING THE PPP CENTER, APPROPRIATING FUNDS THEREFOR, AND FOR OTHER PURPOSES",Substituted by HB06527,https://www.econgress.gov.ph/house-members/?id=223&views=authoredbills,"('Transport',)",Transport,HB,2557,HB,,Consolidated/Substituted,,,,,1.0,0.14925373134328357,,Other,,,
223,Ralph G.  Recto,"Batangas - 6th District House of Representatives, Quezon City",HB02558,"AN ACT RATIONALIZING THE ECONOMIC REGULATION OF WATER UTILITIES, CREATING THE WATER REGULATORY COMMISSION AND FOR OTHER PURPOSES",Pending with the Committee on GOVERNMENT REORGANIZATION since 2022-08-03,https://www.econgress.gov.ph/house-members/?id=223&views=authoredbills,"('Economy', 'Environment', 'Governance')",Economy,HB,2558,HB,2022-08-03,Pending,19.0,2022,1151.0,GOVERNMENT REORGANIZATION ,1.0,0.14925373134328357,1341.0,Other,81.0,,https://ldr.senate.gov.ph/bills/house-bill-no-2558-19th-congress
