member_id,member_name,representation,bill_code,bill_title,bill_status
324,"Ronald ""Bato"" M. Dela Rosa",Senator Senate of the Philippines,SRN-198,RESOLUTION EXPRESSING THE PROFOUND SYMPATHY AND SINCERE CONDOLENCES OF THE SENATE OF THE PHILIPPINES ON THE DEATH OF QUEEN ELIZABETH II OF THE UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,
324,"Ronald ""Bato"" M. Dela Rosa",Senator Senate of the Philippines,SBN-1312,AN ACT INSTITUTING THE MAGNA CARTA OF FILIPINO SEAFARERS,PENDING IN THE COMMITTEE DATE : 9/21/2022
324,"Ronald ""Bato"" M. Dela Rosa",Senator Senate of the Philippines,SBN-1335,AN ACT GRANTING PHILIPPINE CITIZENSHIP TO CAMERON OLIVER,PENDING IN THE COMMITTEE DATE : 9/27/2022
324,"Ronald ""Bato"" M. Dela Rosa",Senator Senate of the Philippines,SBN-1349,"AN ACT STRENGTHENING THE CITIZEN ARMED FORCES OF THE PHILIPPINES, MANDATING THE INSTITUTIONALIZATION OF THE RESERVE OFFICERS' TRAINING CORPS (ROTC) PROGRAM IN PUBLIC AND PRIVATE TERTIARY- LEVEL EDUCATIONAL INSTITUTIONS INCLUDING TECHNICAL VOCATIONAL INSTITUTIONS, APPROPRIATING FUNDS THEREFOR, AND FOR OTHER PURPOSES",PENDING IN THE COMMITTEE DATE : 9/28/2022
324,"Ronald ""Bato"" M. Dela Rosa",Senator Senate of the Philippines,SBN-1830,"AN ACT REMOVING THE EXPIRATION PERIOD OF THE CONGRESSIONAL OVERSIGHT COMMITTEE, FURTHER AMENDING FOR THE PURPOSE SECTION 97 OF REPUBLIC ACT NO. 9165, OTHERWISE KNOWN AS THE COMPREHENSIVE DANGEROUS DRUGS ACT OF 2022, AS AMENDED",PENDING IN THE COMMITTEE DATE : 2/6/2023
324,"Ronald ""Bato"" M. Dela Rosa",Senator Senate of the Philippines,SBN-1831,AN ACT INSTITUTIONALIZING THE GRANT OF A TEACHING SUPPLIES ALLOWANCE FOR PUBLIC SCHOOL TEACHERS AND APPROPRIATING FUNDS THEREFOR,PENDING IN THE COMMITTEE DATE : 2/6/2023
324,"Ronald ""Bato"" M. Dela Rosa",Senator Senate of the Philippines,SBN-1847,"AN ACT STRENGTHENING THE COMMISSION ON ELECTIONS (COMELEC) INCREASING THE MANPOWER COMPLEMENT IN ITS FIELD OFFICES, PROVIDING OFFICE SPACES SEPARATE AND INDEPENDENT FROM LOCAL GOVERNMENT UNITS, AMENDING FOR THE PURPOSE BATAS
PAMBANSA BLG. 881, AS AMENDED, OTHERWISE KNOWN AS THE OMNIBUS ELECTION CODE OF THE PHILIPPINES AND APPROPRIATING FUNDS THEREFOR",PENDING IN THE COMMITTEE DATE : 2/7/2023
324,"Ronald ""Bato"" M. Dela Rosa",Senator Senate of the Philippines,SBN-198,"AN ACT DEFINING LARGE-SCALE ILLEGAL TRAFFICKING OF DANGEROUS DRUGS, AND CONTROLLED PRECURSORS AND ESSENTIAL CHEMICALS, IMPOSING THE DEATH PENALTY, AMENDING FOR THE PURPOSE REPUBLIC ACT NO. 9346 ENTITLED ?THE ACT PROHIBITING THE IMPOSITION OF DEATH PENALTY IN THE PHILIPPINES? AND FOR OTHER PURPOSES",PENDING IN THE COMMITTEE DATE : 8/1/2022
324,"Ronald ""Bato"" M. Dela Rosa",Senator Senate of the Philippines,SBN-199,"AN ACT MANDATING THE INSTITUTIONALIZATION, DEVELOPMENT, TRAINING, ORGANIZATION AND ADMINISTRATION OF BASIC RESERVE OFFICERS TRAINING CORPS (ROTC) IN GRADES 11 AND 12 IN PUBLIC AND PRIVATE EDUCATIONAL INSTITUTIONS, FURTHER AMENDING REPUBLIC ACT NO. 7077, OTHERWISE KNOWN AS THE ?CITIZEN ARMED FORCES OF THE PHILIPPINES RESERVIST ACT?, AS AMENDED BY REPUBLIC ACT NO. 9163, OTHERWISE KNOWN AS THE ?NATIONAL SERVICE TRAINING PROGRAM? AND APPROPRIATING FUNDS THEREFOR",PENDING IN THE COMMITTEE DATE : 8/1/2022
324,"Ronald ""Bato"" M. Dela Rosa",Senator Senate of the Philippines,SBN-200,"AN ACT INSTITUTIONALIZING THE
WHOLE-OF-NATION APPROACH IN ATTAINING INCLUSIVE AND SUSTAINABLE PEACE, CREATING THE NATIONAL COUNCIL TO END LOCAL COMMUNIST ARMED CONFLICT, AND FOR OTHER PURPOSES",PENDING IN THE COMMITTEE DATE : 8/1/2022
324,"Ronald ""Bato"" M. Dela Rosa",Senator Senate of the Philippines,SBN-201,"AN ACT AMENDING REPUBLIC ACT 7941, OTHERWISE KNOWN AS THE PARTY-LIST SYSTEM ACT",PENDING IN THE COMMITTEE DATE : 8/2/2022
324,"Ronald ""Bato"" M. Dela Rosa",Senator Senate of the Philippines,SBN-204,"AN ACT PROVIDING FOR THE REVITALIZATION AND CAPABILITY ENHANCEMENT OF THE PHILIPPINE NATIONAL POLICE (PNP), APPROPRIATING FUNDS THEREFORE AND FOR OTHER PURPOSES",PENDING IN THE COMMITTEE DATE : 7/8/2022
324,"Ronald ""Bato"" M. Dela Rosa",Senator Senate of the Philippines,SBN-205,"AN ACT REPEALING REPUBLIC ACT NO. 10912, OTHERWISE KNOWN AS THE ?CONTINUING PROFESSIONAL DEVELOPMENT ACT OF 2016",PENDING IN THE COMMITTEE DATE : 8/2/2022
324,"Ronald ""Bato"" M. Dela Rosa",Senator Senate of the Philippines,SBN-206,"AN ACT PROVIDING DIRECT FINANCIAL ASSISTANCE TO FILIPINO FARMERS, ESTABLISHING FOR THE PURPOSE ?THE FILIPINO FARMERS FINANCIAL ASSISTANCE PROGRAM?, PROVIDING FUNDS THEREFOR, AND FOR OTHER PURPOSES",PENDING IN THE COMMITTEE DATE : 8/2/2022
324,"Ronald ""Bato"" M. Dela Rosa",Senator Senate of the Philippines,SBN-207,"AN ACT ESTABLISHING A SPECIAL DEFENSE ECONOMIC ZONE (SPEDEZ) INSIDE THE GOVERNMENT ARSENAL DEFENSE INDUSTRIAL ESTATE LOCATED IN CAMP GEN. ANTONIO LUNA, LAMAO, MUNICIPALITY OF LIMAY, PROVINCE OF BATAAN, CREATING FOR THIS PURPOSE THE SPECIAL DEFENSE ECONOMIC ZONE AUTHORITY (SPEDEZA), APPROPRIATING FUNDS THEREFOR AND FOR OTHER PURPOSES",PENDING IN THE COMMITTEE DATE : 8/2/2022
324,"Ronald ""Bato"" M. Dela Rosa",Senator Senate of the Philippines,SBN-430,"AN ACT PROVIDING FOR A MAGNA CARTA OF TRICYCLE DRIVERS AND OPERATORS, INSTITUTIONALIZING MECHANISMS FOR ITS IMPLEMENTATION AND FOR OTHER PURPOSES",PENDING IN THE COMMITTEE DATE : 8/10/2022
324,"Ronald ""Bato"" M. Dela Rosa",Senator Senate of the Philippines,SBN-431,"AN ACT PROVIDING FOR THE RANK CLASSIFICATION AND ORGANIZATION OF KEY POSITIONS IN THE BUREAU OF FIRE PROTECTION (BFP) AND BUREAU OF JAIL MANAGEMENT AND PENOLOGY (BJMP), AMENDING FOR THE PURPOSE REPUBLIC ACT NO. 9263 OTHERWISE KNOWN AS THE 'BUREAU OF FIRE PROTECTION AND BUREAU OF JAIL MANAGEMENT AND PENOLOGY PROFESSIONALIZATION ACT OF 2004', AS AMENDED BY REPUBLIC ACT NO. 9592 AND FOR OTHER PURPOSES",PENDING IN THE COMMITTEE DATE : 8/10/2022
324,"Ronald ""Bato"" M. Dela Rosa",Senator Senate of the Philippines,SBN-432,"AN ACT PROVIDING INCENTIVE ALLOWANCE TO PUBLIC SCHOOL TEACHERS WHO ARE ASSIGNED OUTSIDE OF THEIR CITIES MUNICIPALITIES, AND PROVINCES APPROPRIATING FUNDS THEREFORE, AND FOR OTHER PURPOSES",PENDING IN THE COMMITTEE DATE : 8/10/2022
