congress_id,link,long_title,short_title,authors,date_filed,subjects
47,https://ldr.senate.gov.ph/bills/house-bill-no-999-14th-congress-republic,"AN ACT DEFINING AND PENALIZING MARITAL INFIDELITY AMENDING FOR THE PURPOSE ARTICLES 333, 334 AND 344 OF ACT NO. 3815, OTHERWISE KNOWN AS THE REVISED PENAL CODE",N/A,N/A,"July 10, 2007",N/A
47,https://ldr.senate.gov.ph/bills/house-bill-no-998-14th-congress-republic,"AN ACT TO DETER THE CONTINUED PROLIFERATION OF IMMORAL DOCTRINES, OBSCENE PUBLICATIONS AND EXHIBITIONS AND INDECENT SHOWS BY INCREASING THE PENALTIES AGAINST AMENDING FOR THIS PURPOSE ACT NO. 3815 AS AMENDED AND REPUBLIC ACT NO. 7610",N/A,N/A,"July 10, 2007",N/A
47,https://ldr.senate.gov.ph/bills/house-bill-no-997-14th-congress-republic,"AN ACT IMPLEMENTING THE RIGHT OF ACCESS TO INFORMATION ON MATTERS OF PUBLIC CONCERN GUARANTEED UNDER SECTION SEVEN, ARTICLE III OF THE 1987 CONSTITUTION AND FOR OTHER PURPOSES",N/A,N/A,"July 10, 2007",N/A
47,https://ldr.senate.gov.ph/bills/house-bill-no-996-14th-congress-republic,"AN ACT PLACING THE PROVINCIAL, SUB-PROVINCIAL AND DISTRICT JAILS UNDER THE JURISDICTION OF BUREAU OF JAIL MANAGEMENT  AND PENOLOGY (BJMP), AMENDING SECTIONS 61, 62, AND 63 OF REPUBLIC ACT NUMBERED SIXTY-NINE HUNDRED AND SEVENTY-FIVE OTHERWISE KNOWN AS THE ""DEPARTMENT OF THE INTERIOR AND LOCAL GOVERNMENT ACT OF 1990"" AND FOR OTHER PURPOSES",N/A,N/A,"July 10, 2007",N/A
47,https://ldr.senate.gov.ph/bills/house-bill-no-995-14th-congress-republic,"AN ACT CONVERTING THE SURALLAH NATIONAL AGRICULTURAL SCHOOL (SUNAS) IN THE MUNICIPALITY OF SURALLAH, PROVINCE OF SOUTH COTABATO INTO A STATE COLLEGE TO BE KNOWN AS THE SOUTH COTABATO AGRICULTURAL STATE COLLEGE, AND APPROPRIATING FUNDS THEREFOR",N/A,N/A,"July 10, 2007",N/A
47,https://ldr.senate.gov.ph/bills/house-bill-no-994-14th-congress-republic,"AN ACT CONVERTING THE PROVINCIAL ROAD FROM THE MUNICIPALITY OF STA. MAGDALENA TO PAWA ROAD IN THE MUNICIPALITY OF MATNOG, PROVINCE OF SORSOGON, INTO A NATIONAL ROAD TO BE KNOWN AS THE GOVERNOR JUAN G. FRIVALDO HIGHWAY AND APPROPRIATING FUNDS THEREFOR",N/A,N/A,"July 10, 2007",N/A
47,https://ldr.senate.gov.ph/bills/house-bill-no-993-14th-congress-republic,"AN ACT AUTHORIZING THE LAND MANAGEMENT BUREAU TO CONDUCT THE CADASTRAL SURVEY OF THE ENTIRE COUNTRY, AND APPROPRIATING FUNDS THEREFOR",N/A,N/A,"July 10, 2007",N/A
47,https://ldr.senate.gov.ph/bills/house-bill-no-992-14th-congress-republic,"AN ACT DECLARING THE TACDOGAN REEF IN THE MIDDLE OF TICAO PASS, LOCATED IN THE WATERS BETWEEN THE PROVINCES OF SORSOGON AND MASBATE, A MARINE RESERVE TO BE KNOWN AS THE TACDOGAN REEF NATIONAL MARINE PARK",N/A,N/A,"July 10, 2007",N/A
47,https://ldr.senate.gov.ph/bills/house-bill-no-991-14th-congress-republic,"AN ACT PROVIDING FOR A PRE-TRIAL RELEASE FOR THE ACCUSED CREATING FOR THE PURPOSE THE PRE-TRIAL RELEASE OFFICE (PTRO), APPROPRIATING FUNDS THEREFOR, AND FOR OTHER PURPOSES",N/A,N/A,"July 10, 2007",N/A
47,https://ldr.senate.gov.ph/bills/house-bill-no-990-14th-congress-republic,"AN ACT GRANTING COMPULSORY LIFE INSURANCE COVERAGE TO ACCREDITED BARANGAY HEALTH WORKERS AMENDING FOR THE PURPOSE THE ""BARANGAY HEALTH WORKERS' BENEFITS AND INCENTIVES ACT OF 1995""",N/A,N/A,"July 10, 2007",N/A
