congress_id,link,long_title,short_title,authors,date_filed,subjects
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3199-16th-congress-republic,AN ACT PROVIDING HAZARDOUS PAY TO PROBATION AND PAROLE OFFICERS WHO PERFORM THE DUTY OF SUPERVISING AND COUNSELING PAROLEES,PROBATION AND PAROLE OFFICERS HAZARDOUS PAY ACT,Miriam Defensor Santiago,"January 2, 2016",HAZARD PAY; PROBATION/PAROLE OFFICERS
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3100-16th-congress-republic,AN ACT TO ENHANCE THE EFORTS FOCUSED ON PUBLIC AWARENESS AND EDUCATION ABOUT THE RISKS AND DANGERS ASSOCIATED WITH SHAKEN BABY SYNDROME,SHAKEN BABY SYNDROME PREVENTION ACT,Miriam Defensor Santiago,"January 25, 2016",SHAKEN BABY SYNDROME
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3157-16th-congress-republic,"AN ACT AMENDING SECTION 85, PARAGRAPH (A) OF REPUBLIC ACT NO. 7160, OTHERWISE KNOWN AS THE LOCAL GOVERNMENT CODE",PREVENTIVE SUSPENSION OF APPOINTIVE LOCAL OFFICIALS NOT EXCEEDING 90 DAYS,Miriam Defensor Santiago,"January 28, 2016",PREVENTIVE SUSPENSION OF APPOINTIVE LOCAL OFFICIALS AND EMPLOYEES
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3167-16th-congress-republic,"AN ACT AMENDING THE PRESIDENTIAL DECREE NO. 1529, OTHERWISE KNOWN AS THE PROPERTY REGISTRATION DECREE, SECTION 110",REGISTER OF DEEDS TO INITIATE THE FILING OF PETITION FOR RECONSITUTION OF LOST TORRENS TITLE,Miriam Defensor Santiago,"January 28, 2016",PROPERTY REGISTRATION; PRESIDENTIAL DECREE (P.D.NO. 1529)
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3066-16th-congress-republic,"AN ACT AMENDING REPUBLIC ACT NO. 9211, OR THE TOBACCO REGULATION ACT OF 2003, SECTION 13, ON WARNINGS ON CIGARETTE PACKAGES","AMENDING R.A. 9211, WARNINGS ON CIGARETTE PACKAGES",Miriam Defensor Santiago,"November 1, 2016","TOBACCO REGULATION ACT, AMENDMENTS (R.A. NO. 9211); CIGARS/CIGARETTES; LABEL/LABELING"
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3131-16th-congress-republic,"AN ACT ABOLISHING THE ROAD BOARD CREATED BY VIRTUE OF REPUBLIC ACT NO. 8794 AND TRANSFERRING ITS POWERS AND FUNCTIONS TO THE DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS AND TO THE DEPARTMENT OF TRANSPORTATION AND COMMUNICATIONS, AMENDING FOR THE PURPOSE REPUBLIC ACT NO. 8794","AMENDING R.A. NO. 8794, ABOLISHING THE ROAD BOARD","PIMENTEL, AQUILINO ""KOKO"" III","January 25, 2016",Department of Public Works and Highways (DPWH); Department of Transportation and Communications (DOTC); MOTOR VEHICLES USERS CHARGE (MVUC) (R.A. NO. 8794)
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3077-16th-congress-republic,AN ACT REQUIRING AN ANNUAL REPORT ON INJURIES SUSTAINED BY ELEMENTARY AND HIGH SCHOOL STUDENTS PARTICIPATING IN SCHOOL SPORTS AND PHYSICAL EDUCATION PROGRAMS,REPORT ON INJURIES SUSTAINED BY ELEMENTARY AND HIGH SCHOOL STUDENTS IN SPORTS PROGRAMS,Miriam Defensor Santiago,"January 13, 2016",school sports; PHYSICAL EDUCATION (P.E.)
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3142-16th-congress-republic,AN ACT PROHIBITING A MANUFACTURER FROM DISTRIBUTING PERSONAL AUDIO PLAYERS UNLESS THERE IS A WARNING LABEL ON THE PRODUCT WHICH PROVIDES THAT IT MAY CAUSE HEARING DAMAGE,MUSIC PLAYER NOISE WARNING ACT,Miriam Defensor Santiago,"January 26, 2016",AUDIO PLAYERS; LABEL/LABELING
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3215-16th-congress-republic,AN ACT INCREASING AWARENESS ABOUT SPORTS-RELATED TRAUMATIC BRAIN INJURIES,TRAUMATIC BRAIN INJURY PREVENTION AND INFORMATION ACT,Miriam Defensor Santiago,"February 2, 2016",SPORTS INJURY PREVENTION; BRAINS
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3111-16th-congress-republic,"AN ACT AMENDING REPUBLIC ACT NO. 6539, ALSO KNOWN AS THE ANTI-CARNAPPING ACT OF 1972, SECTION 14 ON THE PENALTIES FOR CARNAPPING","AMENDING R.A. NO. 6539, ANTI-CARNAPPING ACT OF 1972",Miriam Defensor Santiago,"January 25, 2016",ANTI-CARNAPPING; ARMED FORCES OF THE PHILIPPINES (AFP); PHILIPPINE NATIONAL POLICE (PNP); LAW ENFORCEMENT AGENCY
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3178-16th-congress-republic,"AN ACT AMENDING SECTION 463, CHAPTER 2, TITLE 4, BOOK 3 OF REPUBLIC ACT NO. 7160, OTHERWISE KNOWN AS THE LOCAL GOVERNMENT CODE OF 1991",PROVINCIAL ENVIRONMENT AND NATURAL RESOURCES OFFICER (PENRO),Miriam Defensor Santiago,"January 28, 2016",LOCAL GOVERNMENT CODE (R.A. NO. 7160); PROVINCIAL ENVIRONMENT AND NATURAL RESOURCES OFFICER (PENRO)
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3091-16th-congress-republic,AN ACT INSTITUTIONALIZING THE NATIONWIDE IMPLEMENTATION OF THE JOBSTART PHILIPPINES PROGRAM AND PROVIDING FUNDS THEREFOR,JOBSTART PHILIPPINE ACT,"ANGARA, SONNY","January 21, 2016",JOBSTART PROGRAM
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3154-16th-congress-republic,AN ACT TO ADOPT INTEGRATED COASTAL MANAGEMENT AS A NATIONAL STRATEGY TO ENSURE THE SUSTAINABLE DEVELOPMENT OF THE COASTAL AND MARINE ENVIRONMENT AND RESOURCES AND TO ESTABLISH SUPPORTING MECHANISMS FOR ITS IMPLEMENTATION AND PROVIDE FUNDS THEREFOR,INTEGRATED COASTAL MANAGEMENT ACT,"LEGARDA, LOREN B.","January 27, 2016",COASTAL ENVIRONMENT PROGRAM; MARINE RESOURCES AWARENESS
240,https://ldr.senate.gov.ph/bills/senate-bill-no-3048-16th-congress-republic,AN ACT ESTABLISHING A NATIONAL POLICY OF BASIC CONSUMER FAIR TREATMENT FOR AIRLINE PASSENGERS,AIRLINE PASSENGER FAIRNESS ACT,Miriam Defensor Santiago,"November 1, 2016",AIRLINE PASSENGER FAIRNESS ACT
